Job Title,Location,Category,URL,Date Posted,Contract Type
Junior Java Developer (Mulesoft),Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/275203-en_GB+sap_btp/,11 Jul 2025,Permanent
Senior Biostatistician,"VNG - Cais de Gaia, Lisboa - Expo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/294758-en_US+sap_btp/,18 Jul 2025,Permanent
Java Backend Developer,"Lisboa - Colombo, Fundão, VNG - Lake Towers, VNG - Cais de Gaia, Lisboa - Expo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/220445-en_US+sap_btp/,22 Apr 2025,Permanent
Tech Lead,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/299379-en_US+sap_btp/,25 Jul 2025,Permanent
Infrastructure Solution Manager,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/230760-en_US+sap_btp/,05 May 2025,Permanent
DevOps Engineer,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/299319-en_US+sap_btp/,25 Jul 2025,Permanent
IBM BPM/BAW Developer,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/296405-en_US+sap_btp/,22 Jul 2025,Permanent
Analista Programador BPM,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/251519-en_US+sap_btp/,28 May 2025,Permanent
Mid-Senior Data Engineer (AWS),"Lisboa - Expo, VNG - Lake Towers, VNG - Cais de Gaia, Lisboa - Colombo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/210038-en_US+sap_btp/,10 Apr 2025,Permanent
SAP FICO Consultant | Lisboa,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/279791-en_GB+sap_btp/,01 Jul 2025,Permanent
Data Engineer,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/227054-en_GB+sap_btp/,30 Apr 2025,Permanent
Gestor de Projeto,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/237119-en_GB+sap_btp/,12 May 2025,Permanent
Spontaneous Application,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/212670-pt_PT+sap_btp/,15 Apr 2025,Permanent
SAP Junior Consultant FICO | Lisboa,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/297815-en_GB+sap_btp/,24 Jul 2025,Permanent
MERN Developer (Lisbon),Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/247571-en_GB+sap_btp/,23 May 2025,Permanent
Mid Biostatistician,"VNG - Cais de Gaia, Lisboa - Expo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/294757-en_US+sap_btp/,18 Jul 2025,Permanent
Data Scientist (Mid-Senior),"Fundão, VNG - Cais de Gaia, Lisboa - Colombo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/226256-en_US+sap_btp/,29 Apr 2025,Permanent
Mediation Engineer,"Fundão, VNG - Lake Towers, Lisboa - Expo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/299372-en_GB+sap_btp/,25 Jul 2025,Permanent
SAP Consultant Logistics | Lisboa,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/297789-en_GB+sap_btp/,24 Jul 2025,Permanent
Packet Core Solution Architect,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/262646-en_GB+sap_btp/,10 Jun 2025,Permanent
Packet Core Engineer,"Fundão, VNG - Lake Towers, Lisboa - Expo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/260830-en_GB+sap_btp/,06 Jun 2025,Permanent
Solution Services Manual Tester,"Fundão, VNG - Lake Towers, Lisboa - Expo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/260691-en_GB+sap_btp/,06 Jun 2025,Permanent
Service Desk Analyst - Healthcare Sector - (Dutch & English Speaker),"Lisboa - Colombo, Lisboa - Expo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/201882-en_US+sap_btp/,08 Jul 2025,Permanent
Quality Assurance Engineer,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/285997-en_US+sap_btp/,10 Jul 2025,Permanent
Data Engineer Mid-Senior,"Lisboa - Expo, VNG - Lake Towers, VNG - Cais de Gaia, Lisboa - Colombo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/284241-en_US+sap_btp/,10 Jul 2025,Permanent
Data Analyst,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/227058-en_GB+sap_btp/,30 Apr 2025,Permanent
Senior Scrum Master/Product Owner | DCX SFS/ABL,"Évora, VNG - Cais de Gaia, Lisboa - Colombo",Experienced Professionals,https://www.capgemini.com/pt-en/jobs/218206-en_GB+sap_btp/,17 Apr 2025,Permanent
Cybersecurity Manager,Lisboa,Experienced Professionals,https://www.capgemini.com/pt-en/jobs/230756-en_US+sap_btp/,05 May 2025,Permanent
